ts	src	dst	type	ser	irt	seq	expected	data
17047	6002	6001	ACK	22	22	3	3	x''
18984	6002	6001	KPA	23	0	3	3	x''
19015	6001	6002	ACK	23	23	3	3	x''
19031	6001	6002	KPA	24	0	3	3	x''
19062	6002	6001	ACK	24	24	3	3	x''
20984	6002	6001	KPA	25	0	3	3	x''
21015	6001	6002	ACK	25	25	3	3	x''
21031	6001	6002	KPA	26	0	3	3	x''
21062	6002	6001	ACK	26	26	3	3	x''
22984	6002	6001	KPA	27	0	3	3	x''
23015	6001	6002	ACK	27	27	3	3	x''
23031	6001	6002	KPA	28	0	3	3	x''
23062	6002	6001	ACK	28	28	3	3	x''
24984	6002	6001	KPA	29	0	3	3	x''
25015	6001	6002	ACK	29	29	3	3	x''
25031	6001	6002	KPA	30	0	3	3	x''
25062	6002	6001	ACK	30	30	3	3	x''
26984	6002	6001	KPA	31	0	3	3	x''
27015	6001	6002	ACK	31	31	3	3	x''
27031	6001	6002	KPA	32	0	3	3	x''
27062	6002	6001	ACK	32	32	3	3	x''
28984	6002	6001	KPA	33	0	3	3	x''
29015	6001	6002	ACK	33	33	3	3	x''
29031	6001	6002	KPA	34	0	3	3	x''
29062	6002	6001	ACK	34	34	3	3	x''
30984	6002	6001	KPA	35	0	3	3	x''
31015	6001	6002	ACK	35	35	3	3	x''
31031	6001	6002	KPA	36	0	3	3	x''
31062	6002	6001	ACK	36	36	3	3	x''
32984	6002	6001	KPA	37	0	3	3	x''
33015	6001	6002	ACK	37	37	3	3	x''
33031	6001	6002	KPA	38	0	3	3	x''
33062	6002	6001	ACK	38	38	3	3	x''
34984	6002	6001	KPA	39	0	3	3	x''
35015	6001	6002	ACK	39	39	3	3	x''
35031	6001	6002	KPA	40	0	3	3	x''
35062	6002	6001	ACK	40	40	3	3	x''
36984	6002	6001	KPA	41	0	3	3	x''
37015	6001	6002	ACK	41	41	3	3	x''
37031	6001	6002	KPA	42	0	3	3	x''
37062	6002	6001	ACK	42	42	3	3	x''
38984	6002	6001	KPA	43	0	3	3	x''
39015	6001	6002	ACK	43	43	3	3	x''
39031	6001	6002	KPA	44	0	3	3	x''
39062	6002	6001	ACK	44	44	3	3	x''
40984	6002	6001	KPA	45	0	3	3	x''
41015	6001	6002	ACK	45	45	3	3	x''
41031	6001	6002	KPA	46	0	3	3	x''
41062	6002	6001	ACK	46	46	3	3	x''
42984	6002	6001	KPA	47	0	3	3	x''
43015	6001	6002	ACK	47	47	3	3	x''
43031	6001	6002	KPA	48	0	3	3	x''
43062	6002	6001	ACK	48	48	3	3	x''
44984	6002	6001	KPA	49	0	3	3	x''
45015	6001	6002	ACK	49	49	3	3	x''
45031	6001	6002	KPA	50	0	3	3	x''
45062	6002	6001	ACK	50	50	3	3	x''
46984	6002	6001	KPA	51	0	3	3	x''
47015	6001	6002	ACK	51	51	3	3	x''
47031	6001	6002	KPA	52	0	3	3	x''
47062	6002	6001	ACK	52	52	3	3	x''
47750	6002	6001	DAT	53	0	3	3	x'cab2842735d43066440436347c8071159c03096606075600000000ffff'
47765	6001	6002	ACK	53	53	3	4	x''
49031	6001	6002	KPA	54	0	3	4	x''
49062	6002	6001	ACK	54	54	4	3	x''
49750	6002	6001	KPA	55	0	4	3	x''
49781	6001	6002	ACK	55	55	3	4	x''
50031	6001	6002	DAT	56	0	3	4	x'cab2841b819aed90021d1a4e8c08bb81c90a000000ffff'
50047	6002	6001	ACK	56	56	4	4	x''
50906	6001	6002	DAT	57	0	4	4	x'd4d6310a80300c85e164e8ed9cc40b742a38b879378f67704a9317913868a782a08324ffd7f52819497ca4b020a812ae91a86f2e8ba8d936beb6ad2092991c468c247c8c597906e45b117bbc6eee03b26f4b6d7aee58ad8dcc6f28fd2ce7d6ccc412e9892579df506ff8756c228330783d5e5f91c44391743d8e7f847c289d651e2acbbfb779aabb9840e5040000ffff'
50937	6002	6001	ACK	57	57	4	5	x''
51750	6002	6001	KPA	58	0	4	5	x''
51781	6001	6002	ACK	58	58	5	4	x''
52906	6001	6002	KPA	59	0	5	4	x''
52937	6002	6001	ACK	59	59	4	5	x''
53750	6002	6001	KPA	60	0	4	5	x''
53781	6001	6002	ACK	60	60	5	4	x''
54187	6002	6001	DAT	61	0	4	5	x'6264616004000000ffff'
54234	6001	6002	DAT	61	61	5	5	x'62045a03000000ffff'
54265	6002	6001	ACK	62	61	5	6	x''
54640	6002	6001	DAT	63	0	5	6	x'621667d8d6af9d2fd22ef5f340be83dd94aeed93409200000000ffff'
54656	6001	6002	DAT	62	63	6	6	x'621667d8d6af9d2fd22ef5f340be83dd94aeed9340d600000000ffff'
54687	6002	6001	ACK	64	62	6	7	x''
54859	6002	6001	DAT	65	0	6	7	x'62656600000000ffff'
54890	6001	6002	ACK	63	65	7	7	x''
54922	6001	6002	DAT	64	0	7	7	x'62656600000000ffff'
54937	6002	6001	ACK	66	64	7	8	x''
55531	6001	6002	DAT	65	0	8	7	x'326566e09602fbd6b9b4b8243f171cbcb0e406000000ffff'
55547	6002	6001	ACK	67	65	7	9	x''
55578	6002	6001	DAT	68	0	7	9	x'326566e096023205189c4b8b4bf273c12e843910000000ffff'
55593	6001	6002	ACK	66	68	9	8	x''
55781	6001	6002	DAT	67	0	9	8	x'32e26080c4383b9802000000ffff'
55797	6002	6001	ACK	69	67	8	10	x''
55843	6002	6001	DAT	70	0	8	10	x'32e26060600529640753402e238806000000ffff'
55859	6001	6002	DAT	68	70	10	9	x'02721941b409846bcc0eee7c00292608c50ca42cd919c4203c1608c50a111487e86760831807d208000000ffff'
55890	6002	6001	DAT	71	68	9	11	x'0209b301691388b0313bd891408a09423103294b760671088f054241cd61849a03d20f000000ffff'
55906	6001	6002	DAT	69	71	11	10	x'0219c706318e0da2960d6100000000ffff'
55937	6002	6001	DAT	72	69	10	12	x'02ea678348822800000000ffff'
55968	6001	6002	DAT	70	72	12	11	x'02a96547a805000000ffff'
55984	6002	6001	ACK	73	70	11	13	x''
56093	6002	6001	DAT	74	0	11	13	x'0299ca8eaa088d0b54c000000000ffff'
56109	6001	6002	DAT	71	74	13	12	x'02713950b5b243690e8811ec1023d811d601000000ffff'
56125	6002	6001	DAT	75	71	12	14	x'02a9e280e8e580e8658750201e000000ffff'
56156	6001	6002	DAT	72	75	14	13	x'020a7240043910e602000000ffff'
56172	6002	6001	DAT	76	72	13	15	x'4252cb09a401000000ffff'
56203	6001	6002	DAT	73	76	15	14	x'0219c4896a10880b000000ffff'
56234	6002	6001	ACK	77	73	14	16	x''
56297	6002	6001	DAT	78	0	14	16	x'02a9e584a8e58428e24455c405a401000000ffff'
56312	6001	6002	DAT	74	78	16	15	x'020973a10a73418ce0841801a200000000ffff'
56343	6002	6001	DAT	79	74	15	17	x'0229e28228e28228025100000000ffff'
56375	6001	6002	ACK	75	79	17	16	x''
56390	6002	6001	DAT	80	0	16	17	x'4252c40da401000000ffff'
56422	6001	6002	ACK	76	80	17	17	x''
56500	6002	6001	DAT	81	0	17	17	x'42e2f2006900000000ffff'
56515	6001	6002	DAT	77	81	17	18	x'02f2b8203c2ea8166e542ddc50611e54611017000000ffff'
56547	6002	6001	DAT	82	77	18	18	x'02e9e186d23c10bd3c10bddc100ac403000000ffff'
56578	6001	6002	DAT	78	82	18	19	x'02eae581e8e58650201e000000ffff'
56593	6002	6001	DAT	83	78	19	19	x'42d2c30ba401000000ffff'
56625	6001	6002	DAT	79	83	19	20	x'0249f242f5f022f400000000ffff'
56640	6002	6001	DAT	84	79	20	20	x'02a9e585a8e58528025100000000ffff'
56672	6001	6002	DAT	80	84	20	21	x'02aae58528025100000000ffff'
56703	6002	6001	DAT	85	80	21	21	x'4252c407a401000000ffff'
56718	6001	6002	DAT	81	85	21	22	x'0229e2832ae2432802000000ffff'
56750	6002	6001	DAT	86	81	22	22	x'0229e28328e28328025100000000ffff'
56765	6001	6002	ACK	82	86	22	23	x''
56797	6002	6001	DAT	87	0	23	22	x'4252c40fa401000000ffff'
56828	6001	6002	DAT	83	87	22	24	x'022ae283288249f2a3da0ae202000000ffff'
56843	6002	6001	ACK	88	83	24	23	x''
56906	6002	6001	DAT	89	0	24	23	x'0229e28728e28728e247552400a401000000ffff'
56922	6001	6002	DAT	84	89	23	25	x'02090ba00a0b40f4f243f4822800000000ffff'
56953	6002	6001	DAT	90	84	25	24	x'0229128028128028025100000000ffff'
56968	6001	6002	DAT	85	90	24	26	x'02f204203c1005000000ffff'
57000	6002	6001	DAT	91	85	26	25	x'42522408a401000000ffff'
57015	6001	6002	DAT	86	91	25	27	x'02a911846a15446805000000ffff'
57047	6002	6001	DAT	92	86	27	26	x'0229128428128428025100000000ffff'
57078	6001	6002	DAT	87	92	26	28	x'022a128428025100000000ffff'
57093	6002	6001	DAT	93	87	28	27	x'42522404a401000000ffff'
57125	6001	6002	DAT	88	93	27	29	x'022912822a12422802000000ffff'
57140	6002	6001	DAT	94	88	29	28	x'0229128228128228025100000000ffff'
57172	6001	6002	DAT	89	94	28	30	x'022a128228025100000000ffff'
57187	6002	6001	DAT	95	89	30	29	x'4252240ca401000000ffff'
57218	6001	6002	DAT	90	95	29	31	x'022912862a12462802000000ffff'
57250	6002	6001	DAT	96	90	31	30	x'0229128628128628025100000000ffff'
57265	6001	6002	ACK	91	96	30	32	x''
57297	6002	6001	DAT	97	0	32	30	x'42522402a401000000ffff'
57328	6001	6002	ACK	92	97	30	33	x''
57406	6002	6001	DAT	98	0	33	30	x'42e28a026900000000ffff'
57422	6001	6002	DAT	93	98	30	34	x'022a12862882498aa0ba50042a2c8a2a0ce202000000ffff'
57453	6002	6001	DAT	99	93	34	31	x'02e91181d2a210bda210bd22100ac403000000ffff'
57468	6001	6002	DAT	94	99	31	35	x'02ea1585e8158150201e000000ffff'
57500	6002	6001	DAT	100	94	35	32	x'42d22306a401000000ffff'
57531	6001	6002	DAT	95	100	32	36	x'02a91543550be202000000ffff'
57547	6002	6001	DAT	101	95	36	33	x'02a91583a8158328025100000000ffff'
57578	6001	6002	ACK	96	101	33	37	x''
57656	6002	6001	DAT	102	0	37	33	x'4252044a7400000000ffff'
57672	6001	6002	DAT	97	102	33	38	x'3281a74468bc33821205000000ffff'
57703	6002	6001	ACK	103	97	38	34	x''
57750	6002	6001	DAT	104	0	38	34	x'42e24a006900000000ffff'
57781	6001	6002	ACK	98	104	34	39	x''
57843	6002	6001	DAT	105	0	39	34	x'42e24a026900000000ffff'
57875	6001	6002	ACK	99	105	34	40	x''
57953	6002	6001	DAT	106	0	40	34	x'42e282123e000000ffff'
57984	6001	6002	DAT	100	106	34	41	x'02d112505a124a83d23f000000ffff'
58000	6002	6001	ACK	107	100	41	35	x''
58047	6002	6001	DAT	108	0	41	35	x'42e24a036900000000ffff'
58078	6001	6002	ACK	101	108	35	42	x''
58156	6002	6001	DAT	109	0	42	35	x'42e2ca006900000000ffff'
58187	6001	6002	DAT	102	109	35	43	x'02d1d250c3c4510d9301d200000000ffff'
58203	6002	6001	DAT	110	102	43	36	x'02d9270eb10f9a9c4114000000ffff'
58218	6001	6002	DAT	103	110	36	44	x'02094ba0f8411c62368802000000ffff'
58234	6002	6001	ACK	111	103	44	37	x''
58297	6002	6001	DAT	112	0	44	37	x'02894a40442520a268f6c8026900000000ffff'
58312	6001	6002	DAT	104	112	37	45	x'02494aa2ea918528928028025100000000ffff'
58343	6002	6001	DAT	113	104	45	38	x'0229928428928428025100000000ffff'
58375	6001	6002	DAT	105	113	38	46	x'02f224213c1005000000ffff'
58390	6002	6001	ACK	114	105	46	39	x''
58422	6001	6002	DAT	106	0	39	46	x'026991426801000000ffff'
58437	6002	6001	DAT	115	106	46	40	x'42522407552405512405512405c93c206f01000000ffff'
58468	6001	6002	DAT	107	115	40	47	x'0269918328928228025100000000ffff'
58500	6002	6001	DAT	116	107	47	41	x'42522b0fa401000000ffff'
58515	6001	6002	DAT	108	116	41	48	x'0289ca43154b231403000000ffff'
58547	6002	6001	DAT	117	108	48	42	x'02a99586a89586a8055100000000ffff'
58562	6001	6002	ACK	109	117	42	49	x''
58609	6002	6001	DAT	118	0	49	42	x'4252a400a401000000ffff'
58625	6001	6002	DAT	110	118	42	50	x'022a92862882395806d52405200d000000ffff'
58640	6002	6001	ACK	119	110	50	43	x''
58703	6002	6001	DAT	120	0	50	43	x'0229928128928128924155a408a401000000ffff'
58718	6001	6002	DAT	111	120	43	51	x'0209cba20a2b42f4ca40f4822800000000ffff'
58750	6002	6001	DAT	121	111	51	44	x'0229928528928528025100000000ffff'
58765	6001	6002	ACK	112	121	44	52	x''
58906	6002	6001	DAT	122	0	52	44	x'4252a404a401000000ffff'
58922	6001	6002	ACK	113	122	44	53	x''
59000	6002	6001	DAT	123	0	53	44	x'42e22a036900000000ffff'
59015	6001	6002	DAT	114	123	44	54	x'02f264213c59a81639542d4a506179546165200d000000ffff'
59047	6002	6001	ACK	124	114	54	45	x''
59140	6002	6001	DAT	125	0	54	45	x'02e981b9581ea2571ea2570e42c9a3ea5101d200000000ffff'
59156	6001	6002	DAT	115	125	45	55	x'02d12a1033e42166c84128988b15107a00000000ffff'
59187	6002	6001	DAT	126	115	55	46	x'02a95580a8558028025100000000ffff'
59203	6001	6002	DAT	116	126	46	56	x'02aa51804882284b48b401000000ffff'
59234	6002	6001	ACK	127	116	56	47	x''
59328	6001	6002	DAT	117	0	47	56	x'02a95144a801000000ffff'
59328	6002	6001	DAT	128	117	56	48	x'4252a48aca5583ea5184e85184e8015100000000ffff'
59359	6001	6002	DAT	118	128	48	57	x'0299a70aa5d5207a14217a1419e0b917000000ffff'
59390	6002	6001	ACK	129	118	57	49	x''
59453	6001	6002	DAT	119	0	49	57	x'02e95142e801000000ffff'
59453	6002	6001	DAT	130	119	57	50	x'4252a40e55a40451a4045104a200000000ffff'
59484	6001	6002	DAT	120	130	50	58	x'02a95587a85582a8055100000000ffff'
59500	6002	6001	ACK	131	120	58	51	x''
59578	6002	6001	DAT	132	0	58	51	x'4252a401a401000000ffff'
59593	6001	6002	DAT	121	132	51	59	x'0229524655a401a401000000ffff'
59609	6002	6001	DAT	133	121	59	52	x'0229528628528628025100000000ffff'
59640	6001	6002	ACK	122	133	52	60	x''
59718	6002	6001	DAT	134	0	60	52	x'4252a409a401000000ffff'
59718	6001	6002	ACK	123	134	52	61	x''
59812	6002	6001	DAT	135	0	61	52	x'42e26a016900000000ffff'
59828	6001	6002	DAT	124	135	52	62	x'022a528628823a9f410555912654581555580b4803000000ffff'
59843	6002	6001	DAT	136	124	62	53	x'02e981b95c15a25715a2570542817800000000ffff'
59875	6001	6002	DAT	125	136	53	63	x'02ea5585e8558150201e000000ffff'
59890	6002	6001	ACK	137	125	63	54	x''
59984	6001	6002	DAT	126	0	54	63	x'02a95543a805000000ffff'
60000	6002	6001	DAT	138	126	63	55	x'0249aa4124d520a2200a000000ffff'
60031	6001	6002	DAT	127	138	55	64	x'02aa518348822800000000ffff'
60047	6002	6001	DAT	139	127	64	56	x'4232491b4803000000ffff'
60062	6001	6002	DAT	128	139	56	65	x'02e9d406d200000000ffff'
60093	6002	6001	ACK	140	128	65	57	x''
60109	6001	6002	DAT	129	0	57	65	x'022952472802000000ffff'
60140	6002	6001	DAT	141	129	65	58	x'42e2ea40f5a843f4a843f4a833c04b4900000000ffff'
60172	6001	6002	DAT	130	141	58	66	x'0209eb4014ab4314832800000000ffff'
60187	6002	6001	ACK	142	130	66	59	x''
60218	6001	6002	DAT	131	0	59	66	x'0229d2402802000000ffff'
60250	6002	6001	DAT	143	131	66	60	x'02496a40243520921aa826e8026900000000ffff'
60265	6001	6002	DAT	132	143	60	67	x'0229d28528d28028025100000000ffff'
60297	6002	6001	ACK	144	132	67	61	x''
60312	6001	6002	DAT	133	0	61	67	x'0229d2442802000000ffff'
60343	6002	6001	DAT	145	133	67	62	x'0229d28428d28428d2c49a54f48034000000ffff'
60375	6001	6002	DAT	134	145	62	68	x'0229d28328d28428025100000000ffff'
60390	6002	6001	ACK	146	134	68	63	x''
60422	6001	6002	DAT	135	0	63	68	x'0229d2422802000000ffff'
60453	6002	6001	ACK	147	135	68	64	x''
60531	6001	6002	DAT	136	0	64	68	x'0271b5115c00000000ffff'
60547	6002	6001	DAT	148	136	68	65	x'02a9d582a8d582a8d54255a40f55a40d51a40d5184e66e03200d000000ffff'
60578	6001	6002	DAT	137	148	65	69	x'02e9d187d20610bdda10bd5a100ac403000000ffff'
60593	6002	6001	ACK	149	137	69	66	x''
60625	6001	6002	DAT	138	0	66	69	x'02e9d141e801000000ffff'
60656	6002	6001	DAT	150	138	69	67	x'0229d28128d28128d241b81b49ad219006000000ffff'
60672	6001	6002	ACK	139	150	67	70	x''
60718	6001	6002	DAT	140	0	67	70	x'02a93584a8d58128d2614029d175116a01000000ffff'
60750	6002	6001	DAT	151	140	70	68	x'02a9d585a8d585a8d545556404a401000000ffff'
60781	6001	6002	DAT	141	151	68	71	x'02a93582a8d585a8055100000000ffff'
60797	6002	6001	ACK	152	141	71	69	x''
60828	6001	6002	DAT	142	0	69	71	x'0229d2432802000000ffff'
60843	6002	6001	DAT	153	142	71	70	x'0229d28328d28328d24355640ca401000000ffff'
60875	6001	6002	DAT	143	153	70	72	x'0229328628d28328025100000000ffff'
60906	6002	6001	ACK	154	143	72	71	x''
60922	6001	6002	DAT	144	0	71	72	x'0229d2472802000000ffff'
60953	6002	6001	DAT	155	144	72	72	x'0229d28728d28728d247556402a401000000ffff'
60984	6001	6002	DAT	145	155	72	73	x'0229328128d28728025100000000ffff'
61000	6002	6001	ACK	156	145	73	73	x''
61031	6001	6002	DAT	146	0	73	73	x'022932402802000000ffff'
61047	6002	6001	DAT	157	146	73	74	x'0229328028328028324055640aa401000000ffff'
61078	6001	6002	DAT	147	157	74	74	x'0229328528328028025100000000ffff'
61109	6002	6001	ACK	158	147	74	75	x''
61140	6001	6002	DAT	148	0	75	74	x'022932442802000000ffff'
61156	6002	6001	ACK	159	148	74	76	x''
61234	6001	6002	DAT	149	0	76	74	x'02718d105c00000000ffff'
61265	6002	6001	DAT	160	149	74	77	x'02293284283244953583e841133587ea3182e83182280251c03ab47e5af02ae68d7fe6c5dd8fe5e6d1de7403240c000000ffff'
61281	6001	6002	DAT	150	160	77	75	x'02e93183d2e610bd4610bd86100ac4035697f5d38257316ffc332fee7e2c378ff6a61b206100000000ffff'
61312	6002	6001	ACK	161	150	75	78	x''
61328	6001	6002	DAT	151	0	78	75	x'0219658c300a000000ffff'
61359	6002	6001	ACK	162	151	75	79	x''
61437	6001	6002	DAT	152	0	79	75	x'02714d105c00000000ffff'
61468	6002	6001	DAT	163	152	75	80	x'0229368628368628364635d102aac804a2c804a2c8045591259006000000ffff'
61484	6001	6002	DAT	153	163	80	76	x'02996801a52d21269b408c348650201e000000ffff'
61515	6002	6001	ACK	164	153	76	81	x''
61531	6001	6002	DAT	154	0	81	76	x'02e93145e801000000ffff'
61562	6002	6001	DAT	165	154	76	82	x'02293285283285283245556405a401000000ffff'
61593	6001	6002	ACK	155	165	82	77	x''
61640	6001	6002	DAT	156	0	82	77	x'02a9b582a835852832852a32432802000000ffff'
61656	6002	6001	ACK	166	156	77	83	x''
61734	6001	6002	DAT	157	0	83	77	x'0271cd115c00000000ffff'
61765	6002	6001	ACK	167	157	77	84	x''
61843	6001	6002	DAT	158	0	84	77	x'02712d105c00000000ffff'
61859	6002	6001	DAT	168	158	77	85	x'0229328328827ac00c559135549139449139449139aa221ba8220b88220b88220b5445b6401a000000ffff'
61890	6001	6002	DAT	159	168	85	78	x'0219610da56da0b42dc4480b88916610ca1c42810401000000ffff'
61922	6002	6001	ACK	169	159	78	86	x''
61937	6001	6002	DAT	160	0	86	78	x'021961893002000000ffff'
61968	6002	6001	DAT	170	160	78	87	x'0229b28428b28428b244556407a401000000ffff'
62000	6001	6002	ACK	161	170	87	79	x''
62047	6001	6002	DAT	162	0	87	79	x'0269b18368b18428b2842ab2422802000000ffff'
62062	6002	6001	DAT	171	162	79	88	x'0229b28228b28228b24255640fa401000000ffff'
62093	6001	6002	ACK	163	171	88	80	x''
62156	6001	6002	DAT	164	0	88	80	x'0229b28728b28228b2822ab2462802000000ffff'
62187	6002	6001	DAT	172	164	80	89	x'0229b28628b28628b24655e400a401000000ffff'
62218	6001	6002	ACK	165	172	89	81	x''
62265	6001	6002	DAT	166	0	89	81	x'0229728028b28628823a8dc106a108000000ffff'
62281	6002	6001	DAT	173	166	81	90	x'0229b28128b28128b24155e408a401000000ffff'
62312	6001	6002	DAT	167	173	90	82	x'0229728428b28128025100000000ffff'
62343	6002	6001	ACK	174	167	82	91	x''
62359	6001	6002	DAT	168	0	91	82	x'0229b2452802000000ffff'
62390	6002	6001	DAT	175	168	82	92	x'0229b28528b28528b24555e404a401000000ffff'
62406	6001	6002	ACK	169	175	92	83	x''
62468	6001	6002	DAT	170	0	92	83	x'0229728228b28528b2852ab2432802000000ffff'
62484	6002	6001	ACK	176	170	83	93	x''
62562	6001	6002	DAT	171	0	93	83	x'0271ed115c00000000ffff'
62593	6002	6001	DAT	177	171	83	94	x'0229b28328b28328b263c0965b9ca16aed216aed216aed5115b9006900000000ffff'
62609	6001	6002	ACK	172	177	94	84	x''
62672	6001	6002	DAT	173	0	94	84	x'02e97186d22e10bdf610bd7610ca1eaac701a107000000ffff'
62687	6002	6001	DAT	178	173	84	95	x'0229728028728028724055e40aa401000000ffff'
62718	6001	6002	DAT	174	178	95	85	x'02a97585a8758028726080173700000000ffff'
62750	6002	6001	ACK	179	174	85	96	x''
62765	6001	6002	DAT	175	0	96	85	x'02a97544a805000000ffff'
62797	6002	6001	ACK	180	175	85	97	x''
62875	6001	6002	DAT	176	0	97	85	x'02719d105c00000000ffff'
62890	6002	6001	DAT	181	176	85	98	x'02297284287284287284d88a56fdb941d53a41d43a41d43aa12a02358001000000ffff'
62922	6001	6002	DAT	177	181	98	86	x'02697583d2ee10239c2046384228100f000000ffff'
62937	6002	6001	ACK	182	177	86	99	x''
62968	6001	6002	DAT	178	0	99	86	x'02e97146e801000000ffff'
63000	6002	6001	DAT	183	178	86	100	x'0229728628728628724655e401a401000000ffff'
63015	6001	6002	DAT	179	183	100	87	x'02a9f580a8758628025100000000ffff'
63047	6002	6001	ACK	184	179	87	101	x''
63078	6001	6002	DAT	180	0	101	87	x'022972412802000000ffff'
63093	6002	6001	DAT	185	180	87	102	x'0229728128728128724155e409a401000000ffff'
